# Producer-sourced golden for the locked-world (scene/tiles/v1 `locked: true`)
# librating-substellar temperature reconstruction test.
# Provenance: hornvale `locked_temperature_at_position` evaluated at equirect
#   tile-CENTER positions — NOT snapped to the nearest climate cell — matching
#   the client reconstruction exactly (Task 7, The Wandering Sun); world: seed
#   8, generated sky, tidally locked (`hornvale new --seed 8`); lattice:
#   width=64 (height=32); node set: px=32 (longitude ~0, the substellar
#   meridian) across every latitude row — node indices 32, 96, 160, … — top row
#   (lat ~+90) first.
# days: {0, year/4, year/2, 3*year/4} where year = 236.08394709975397 std days
#   (climate.year_length_std() for this world).
# These are the sim's ground-truth temperatures (full precision); the orrery's
# TS evaluator reconstructs the locked seasonal term from the librating
# substellar point at the SAME tile-center position and must agree to ~1e-6
# relative (quantization precision, decision 0033). This golden is
# producer-sourced, NEVER a client reconstruction of itself (The Isotherm rule).
# Regenerate: cargo run -p hornvale-scene --example locked_temperature_golden
# columns: node_index,day,temperature_c
32,0,-60
96,0,6.7175123688456
160,0,22.06086133617302
224,0,29.709604839756565
288,0,35.13417201089603
352,0,39.378507695502634
416,0,42.636453226585246
480,0,26.455394778004237
544,0,36.92349474418766
608,0,37.52499081659799
672,0,28.561442979339546
736,0,31.487762959334265
800,0,38.710610413653896
864,0,54.46499239524118
928,0,56.41294264084702
992,0,56.907326230451915
1056,0,57.18033200883977
1120,0,57.23492846545962
1184,0,57.071699904652576
1248,0,56.68889020591729
1312,0,56.08227042118445
1376,0,55.2448090732254
1440,0,54.16608986720742
1504,0,52.83137035474613
1568,0,51.22008734681603
1632,0,49.30344984423286
1696,0,47.040424158685596
1760,0,44.3706709342975
1824,0,41.201165262381956
1888,0,37.378107704112686
1952,0,32.61847604917665
2016,0,26.2983937534811
32,59.02098677493849,-60
96,59.02098677493849,-60
160,59.02098677493849,-60
224,59.02098677493849,-60
288,59.02098677493849,17.449887742315845
352,59.02098677493849,26.883975837817815
416,59.02098677493849,32.82654633393249
480,59.02098677493849,18.40967296582927
544,59.02098677493849,30.183614005050153
608,59.02098677493849,31.82649097483107
672,59.02098677493849,23.737651831582255
736,59.02098677493849,27.427428966781054
800,59.02098677493849,35.336617130251966
864,59.02098677493849,51.72265937554343
928,59.02098677493849,54.263173388673465
992,59.02098677493849,55.322418964012655
1056,59.02098677493849,56.14136154590064
1120,59.02098677493849,56.73012204618679
1184,59.02098677493849,57.09549363032238
1248,59.02098677493849,57.24150105052756
1312,59.02098677493849,57.16971329424503
1376,59.02098677493849,56.87936170041017
1440,59.02098677493849,56.367282356790454
1504,59.02098677493849,55.627673665717865
1568,59.02098677493849,54.65162944118592
1632,59.02098677493849,53.42636556977125
1696,59.02098677493849,51.93398917923618
1760,59.02098677493849,50.14953388824921
1824,59.02098677493849,48.037737711480005
1888,59.02098677493849,45.547512582019415
1952,59.02098677493849,42.60181719566043
2016,59.02098677493849,39.077381007085144
32,118.04197354987699,26.2983937534811
96,118.04197354987699,32.61847604917665
160,118.04197354987699,37.378107704112686
224,118.04197354987699,41.201165262381956
288,118.04197354987699,44.3706709342975
352,118.04197354987699,47.040424158685596
416,118.04197354987699,49.08894984423286
480,118.04197354987699,31.918588721878105
544,118.04197354987699,41.540086436965176
608,118.04197354987699,41.39202980210909
672,118.04197354987699,31.746991100423998
736,118.04197354987699,34.040337713542385
800,118.04197354987699,40.66483453149358
864,118.04197354987699,55.84509057416999
928,118.04197354987699,57.23492846545962
992,118.04197354987699,57.18033200883977
1056,118.04197354987699,56.907326230451915
1120,118.04197354987699,56.41294264084702
1184,118.04197354987699,55.69160172572376
1248,118.04197354987699,54.734666088077574
1312,118.04197354987699,53.52969566697631
1376,118.04197354987699,52.05926095214093
1440,118.04197354987699,50.29905088169632
1504,118.04197354987699,48.21477866196861
1568,118.04197354987699,45.75689340294215
1632,118.04197354987699,42.85095322658525
1696,118.04197354987699,39.37850769550263
1760,118.04197354987699,35.13417201089602
1824,118.04197354987699,29.709604839756558
1888,118.04197354987699,22.060861336173005
1952,118.04197354987699,6.717512368845586
2016,118.04197354987699,-60
32,177.0629603248155,39.077381007085144
96,177.0629603248155,42.60181719566043
160,177.0629603248155,45.547512582019415
224,177.0629603248155,48.037737711480005
288,177.0629603248155,50.14953388824921
352,177.0629603248155,51.93398917923618
416,177.0629603248155,53.21186556977125
480,177.0629603248155,35.350130816248
544,177.0629603248155,44.33638974793691
608,177.0629603248155,43.59322229169213
672,177.0629603248155,33.38154372760877
736,177.0629603248155,35.12778058660297
800,177.0629603248155,41.21744537610387
864,177.0629603248155,55.868884299839806
928,177.0629603248155,56.73012204618679
992,177.0629603248155,56.14136154590064
1056,177.0629603248155,55.322418964012655
1120,177.0629603248155,54.263173388673465
1184,177.0629603248155,52.949268706026004
1248,177.0629603248155,51.36067280467566
1312,177.0629603248155,49.46936167442311
1376,177.0629603248155,47.235469804383655
1440,177.0629603248155,44.600551039929414
1504,177.0629603248155,41.474897922831104
1568,177.0629603248155,37.711171590767194
1632,177.0629603248155,33.04104633393249
1696,177.0629603248155,26.883975837817815
1760,177.0629603248155,17.449887742315852
1824,177.0629603248155,-60
1888,177.0629603248155,-60
1952,177.0629603248155,-60
2016,177.0629603248155,-60
